nb_chemin,nombre_de_generation,distance,temps_mis_execution
21,60,13729.401861124152,27680274
21,60,13020.931910828664,20375899
21,60,12599.563153230114,19117106
21,60,13009.2256662258,20152725
21,60,12393.390662696236,28783147
21,60,13530.07776270739,30482889
21,60,12584.60187372907,20358622
21,60,13210.166976273118,20939535
21,60,13968.99908758286,18742290
21,60,13266.762712376532,19929332
21,60,13217.375734702258,17504665
21,60,12937.943384051665,17055523
21,60,12934.202858228433,15954044
21,60,13692.428006324628,16975189
21,60,13716.811893225187,16038790
21,60,12992.617585555601,16133814
21,60,13038.602519778779,15913642
21,60,14787.244745981518,16719266
21,60,13126.58620374791,16080906
21,60,13510.430509543472,16804929
21,60,13596.889659778872,16041270
21,60,13349.650682329837,15996177
21,60,13191.857611776933,15817568
21,60,14230.071756299374,16242201
21,60,13721.213353638395,17140274
21,60,12619.875531880509,15918333
21,60,12438.141867194046,15594894
21,60,11930.187533594604,15462282
21,60,13038.358548035081,21323198
21,60,12813.357314920893,17840354
21,60,14017.576672500292,16773614
21,60,13652.777909445602,16563610
21,60,13856.431812401514,16676753
21,60,14006.10774257278,17242174
21,60,13528.162341033709,17580723
21,60,12843.82518255481,18140781
21,60,13192.236883574598,19877638
21,60,13884.472187479287,17582194
21,60,13056.15805923758,19929992
21,60,12246.359735143584,21516995
21,120,12196.256142039712,34560985
21,120,12461.335025134333,31911582
21,120,12374.781883805052,31646713
21,120,12876.385738032284,31820289
21,120,12753.324073450067,32182781
21,120,12744.311067832174,31257683
21,120,12805.64257770451,31578389
21,120,12887.648474447691,32532610
21,120,13173.766766866262,31191248
21,120,12390.59276698775,31510919
21,120,12423.29078557399,34555124
21,120,12328.335371730223,32910681
21,120,12952.06124267749,33657373
21,120,13292.114864225066,33895917
21,120,12309.460291993937,33652764
21,120,12457.089708543195,34316033
21,120,12952.666635183637,38632154
21,120,13496.238576343572,36960670
21,120,13310.323275396137,35288839
21,120,13369.404722269468,34956461
21,120,12799.921701403066,34899463
21,120,12081.337561763721,35897988
21,120,13262.5680291473,38873721
21,120,12401.454267511564,36703759
21,120,12134.1764793746,37275123
21,120,12694.900984932976,36235830
21,120,13514.87461865545,37823191
21,120,12522.482242134527,35030709
21,120,13251.73530343609,34684714
21,120,11931.044603812283,36084401
21,120,13243.298318599755,36388494
21,120,12701.806907156504,36949512
21,120,13276.774719643101,34117963
21,120,11851.504795594235,32526589
21,120,13556.518311235952,31772202
21,120,13141.15283057152,32433922
21,120,12121.489852322402,33160995
21,120,12559.269977069362,33635172
21,120,12393.10376027542,35738162
21,120,11860.060238001433,37861286
21,500,12236.983846426469,142330605
21,500,10580.344190588938,138850806
