nb_chemin,nombre_de_generation,distance
21,60,12994.583807725327
21,60,13733.920353406476
21,60,12956.137239601258
21,60,13096.89391361289
21,60,13399.143120690847
21,60,13140.281976883361
21,60,13183.776160561376
21,60,13073.544496828197
21,60,13979.250274961592
21,60,14498.056787175192
21,60,13767.534230383879
21,60,12164.144063631782
21,60,14075.473511137976
21,60,12706.23824596869
21,60,13461.238920795342
21,60,13884.581055690023
21,60,13028.409763220161
21,60,13951.505858377112
21,60,11216.454930379083
21,60,13631.135405228692
21,120,13365.51235272746
21,120,12790.231211370528
21,120,11943.795133855423
21,120,12903.688453915984
21,120,12310.624592434651
21,120,12676.865505682961
21,120,13034.52881638473
21,120,13035.356598182541
21,120,13312.46537400454
21,120,13278.378442098696
21,120,13492.777301883676
21,120,13270.885802975521
21,120,11851.582279885668
21,120,12815.509353684707
21,120,12534.785892180564
21,120,11882.962261259017
21,120,13688.698542182658
21,120,13813.137553470508
21,120,12108.051488072202
21,120,13313.695694612194
21,500,12112.23967029907
21,500,12139.62712241646
21,500,12635.017679372038
21,500,12121.343131194113
21,500,11187.578657538268
21,500,12322.529717189522
21,500,11494.512815626596
21,500,11773.856131678485
21,500,11163.482644454216
21,500,12541.858763425666
21,500,10911.340973392505
21,500,12263.620913397195
21,500,12732.142494644706
21,500,11130.129939056418
21,500,12383.41054386843
21,500,11239.956374371397
21,500,11890.937702123494
21,500,12623.448147222532
21,500,11505.717894482512
21,500,11697.57592462079
21,1000,11932.82778710806
21,1000,11746.27402312421
21,1000,12768.202637435574
21,1000,12249.111725104596
21,1000,11670.466515964878
21,1000,11896.266109105109
21,1000,12164.809558655643
21,1000,11999.340648564637
21,1000,12060.635964654115
21,1000,11912.679786979319
21,1000,12184.200546942106
21,1000,12050.365594810364
21,1000,12232.11629951548
21,1000,12062.197672114924
21,1000,11728.548692422668
21,1000,12266.32418224043
21,1000,12200.064353482496
21,1000,11668.7216596123
21,1000,11774.993174856512
21,1000,11247.452105801716
21,10000,11077.763134203291
21,10000,11246.061341931636
21,10000,11047.009763336111
21,10000,11169.262879756874
21,10000,10769.121381278192
21,10000,10980.270897767063
21,10000,11091.266463230439
21,10000,10768.596056618577
21,10000,10755.831195577106
21,10000,11095.789752219482
21,10000,10737.108390860587
21,10000,11290.265038060945
21,10000,10564.494905251282
21,10000,10517.197318030489
21,10000,10803.926167813766
21,10000,10602.67964588731
21,10000,9857.316676432007
21,10000,10973.39241217473
21,10000,11280.572054926775
21,10000,11179.325260928501
30,60,12686.925144431907
30,60,12707.219093575564
30,60,11879.08191260004
30,60,13086.21212887926
30,60,11598.953628660469
30,60,12233.740462540876
30,60,14230.806033604362
30,60,12874.508531583362
30,60,11283.089827827063
30,60,12718.24604552116
30,60,13586.1750965954
30,60,12286.474926091838
30,60,13793.475729511789
30,60,13228.633584561056
30,60,12660.46082262402
30,60,13406.85542377166
30,60,12869.303930005652
30,60,12268.2423043983
30,60,13296.075295663104
30,60,13799.874721470038
30,120,12464.698270633568
30,120,12215.97604324652
30,120,13087.253216467847
30,120,12187.376720653472
30,120,13395.24288775165
30,120,11631.627321247342
30,120,11477.077235936487
30,120,11548.48777270922
30,120,12787.712542455822
30,120,13129.461595696594
30,120,12007.547698692637
30,120,13120.467357186644
30,120,10997.064834676621
30,120,11416.397710326168
30,120,11679.86829425312
30,120,13531.070087520358
30,120,12067.173785746207
30,120,11366.551655812318
30,120,12571.78805335481
30,120,12502.399723247527
30,500,10980.69483468763
30,500,11884.398683421785
30,500,10673.474268887769
30,500,11689.980498126879
30,500,11952.89753275715
30,500,11194.951825907985
30,500,10770.55016137445
30,500,11454.59079579041
30,500,11307.03218497332
30,500,11770.97576851111
30,500,11887.467541899789
30,500,11233.455708923097
30,500,11402.669680602914
30,500,11103.845092112824
30,500,11730.65735494542
30,500,11570.152935615648
30,500,11723.904940277773
30,500,10565.487429551817
30,500,11596.014322411538
30,500,11883.272735458635
30,1000,11499.975472844068
30,1000,10801.719993725943
30,1000,11191.839493643554
30,1000,11294.91210047009
30,1000,11366.402859622523
30,1000,11131.136323758776
30,1000,11618.20305960262
30,1000,10597.86557692384
30,1000,11370.344509090592
30,1000,11058.968324196703
30,1000,10400.004333635261
30,1000,11455.789585957064
30,1000,11321.145366874558
30,1000,11954.184647578757
30,1000,10547.549508974098
30,1000,11416.073848365466
30,1000,10460.675208493944
30,1000,11669.612619560712
30,1000,10774.605194633534
30,1000,11283.486101417342
30,10000,9736.306140909572
30,10000,10409.505789172103
30,10000,10623.383574697362
30,10000,10334.987478044304
30,10000,10554.103395375258
30,10000,10331.211951025636
30,10000,10377.040405745363
30,10000,10599.490707250126
30,10000,10217.705234565019
30,10000,10206.362799523631
30,10000,10456.990157206876
30,10000,10293.226863766431
30,10000,10510.142703150366
30,10000,10581.835195194066
30,10000,10383.129716865678
30,10000,9620.50783592087
30,10000,10348.222127967065
30,10000,10520.643371532446
30,10000,10667.975583976078
30,10000,10686.40854121921
33,60,12592.213918410736
33,60,12985.028321774415
33,60,13095.324457123956
33,60,13222.97733967931
33,60,12480.866316131098
33,60,13669.131573736864
33,60,12809.46641834614
33,60,12741.371558966082
33,60,11128.331285362476
33,60,13437.49816195844
33,60,12476.523440874222
33,60,13329.729925335268
33,60,13520.940806583374
33,60,13259.506942717151
33,60,13014.277037971557
33,60,12687.302037656242
33,60,12166.283719313209
33,60,13211.060810218496
33,60,11625.76109479497
33,60,12600.32427230405
33,120,12595.873707473347
33,120,11564.987885647499
33,120,11709.876153402774
33,120,11298.88830204345
33,120,12897.19078028753
33,120,11318.397577272104
33,120,11851.041334628215
33,120,12755.383639958049
33,120,11651.996309500346
33,120,12719.767104244716
33,120,11625.017740031473
33,120,10998.029197235832
33,120,12151.776804349094
33,120,13155.27112104906
33,120,13338.31324220769
33,120,12084.918221204714
33,120,11437.376073565894
33,120,12512.100582639483
