nb_chemin,nombre_de_generation,distance,temps_mis_execution
21,60,11645.53329678043,25988695
21,60,12391.262010439636,20015846
21,60,13595.526011425547,21152157
21,60,10991.6049053439,18698391
21,60,13687.926467702337,17968165
21,60,14202.135668821242,18478965
21,60,14085.017129092383,16929598
21,60,13150.58730405489,17085920
21,60,14097.49851664307,17689870
21,60,13698.509832028878,17411528
21,60,13790.901064733638,16889767
21,60,11595.044255723025,16966880
21,60,14243.196954221792,19948002
21,60,14047.043535145593,17647695
21,60,12102.233526497448,24236289
21,60,13767.99112585118,22658384
21,60,14216.610691030486,22593169
21,60,13571.611325686132,20823017
21,60,13445.370659416109,19527665
21,60,13610.686029599965,19683781
21,60,13155.978263062298,18645621
21,60,13862.20167049368,16804016
21,60,13836.477697556977,16299385
21,60,14270.31521004419,16184546
21,60,12875.876063242657,16859882
21,60,13938.39698118592,15942435
21,60,14174.560088713803,17029670
21,60,14134.60454865876,17260265
21,60,13295.748091399717,17939694
21,60,14273.685481388151,17703320
21,60,12608.604567764842,17198289
21,60,13436.079285168757,16147844
21,60,12589.862158703501,16056671
21,60,13251.167415918191,17043253
21,60,14064.417926135677,18555886
21,60,13226.850113096794,18263116
21,60,13952.04683091916,19502176
21,60,13459.313866399882,21291818
21,60,14236.534762927873,17993163
21,60,14728.965490670327,16647697
21,120,13087.44325640408,33726542
21,120,12953.894035184676,33088581
21,120,12815.765004259842,32864664
21,120,13405.486718295639,31874950
21,120,13257.727779194924,32880604
21,120,12793.552169832039,37180059
21,120,13204.072991007883,38548633
21,120,13045.389746083885,37018719
21,120,13412.428979394826,32162277
21,120,12155.063125308472,31995278
21,120,12729.061785550906,33286940
21,120,12908.915165683602,33186973
21,120,11850.370053494446,32484748
21,120,11953.51748356241,34981858
21,120,12621.8341783714,38884487
21,120,13032.874196048497,35532912
21,120,13105.128833250408,33253362
21,120,13025.268759260027,32527948
21,120,13158.315420359328,31848175
21,120,12840.066409305393,33590788
21,120,12626.710984808766,31900250
21,120,12679.72883543805,31998994
21,120,11902.35412400602,34463513
21,120,12082.841829785386,36951534
21,120,13708.76619608683,45728358
21,120,13101.258226493075,35400793
21,120,14049.85778595124,32128464
21,120,12942.439315667303,33544587
21,120,12514.263522221967,34348738
21,120,13559.076867002617,32908059
21,120,12316.376555543551,31303850
21,120,12933.182503625698,32263285
21,120,12816.157042296209,34083055
21,120,11814.009672210816,37268888
21,120,12518.528082909315,53997724
21,120,12057.65440764201,41310507
21,120,12932.397480399664,35252683
21,120,12687.575115776217,33664928
21,120,12808.13685733582,33720058
21,120,13200.641023778731,32688573
21,500,12697.015936035088,145877430
21,500,11808.750043949709,144961222
21,500,12872.722582887634,141949148
21,500,12337.438223575904,150259142
21,500,12229.57236793747,139619195
21,500,11889.892774176416,133130441
21,500,12419.791194401412,142649589
21,500,11129.905127743912,142388441
21,500,11695.397352954875,139842695
21,500,12186.844370096966,135417981
21,500,11988.730758124493,141200811
21,500,10818.264978787081,134732642
21,500,11615.52987675723,133100756
21,500,11892.621087832831,131591712
21,500,12356.190256061622,136095085
21,500,12880.619658100637,140162292
21,500,11094.131296522804,135136122
21,500,11980.24300791864,133082163
21,500,11394.090596454305,130475036
21,500,11731.097323161313,133672107
21,500,11108.337439093946,141276389
21,500,12086.47635080007,136235424
21,500,13131.988124692838,141868758
21,500,11319.651827162701,141757724
21,500,12009.103257464718,137721925
21,500,12026.953150628618,141818784
21,500,12402.770981744074,125483953
21,500,11550.442776302261,130908313
21,500,13019.183199282657,127850483
21,500,12302.079054123742,127252225
21,500,11167.064715757388,128938170
21,500,12593.289612648558,137869107
21,500,11400.53741998392,137254644
21,500,10569.368396509688,138187134
21,500,12350.643385683697,137775100
21,500,11565.776199857824,139471135
21,500,12743.239826895533,152311899
21,500,12296.141793819665,129138280
21,500,10418.486736594707,127918026
21,500,12066.01888479752,127242783
21,1000,11321.018282295348,279339938
21,1000,11990.887076645218,269988576
21,1000,10855.664268482436,272196853
21,1000,11590.195560891838,280118967
21,1000,12112.964226003785,282781317
21,1000,11086.369801438399,255497479
21,1000,12123.865930662085,258954894
